WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
JAWA TIMUR,PONOROGO,SAMPUNG,0,1/10/2019,1,2019,8.208852975,229.1593957,6.709916865,6,2.356190394,23.09499979,13.49499893,0,0.766145361,-0.004950912,-0.06130389,36.58999872,48.49999845,24.15249958,11.61499974,0.025227272,8.591323122,308.9672421,5.971458415,3.357037774,5.590909091,0.701198786,-0.031124002,-0.095176418,1063.893438,680.7243684,138.1666414,-0.529253174,-0.106413443
JAWA BARAT,GARUT,CIGEDUG,1,1/11/2019,1,2019,7.451595238,1460.698024,12.02214723,4,0.928826007,10.10500002,27.95999908,7.875,0.64767764,0.29842053,-0.157244255,45.9399991,60.58999889,12.98176415,22.51499975,8.390882092,7.480333387,1153.575618,11.92967069,2.395534417,4,0.650405717,0.196978877,-0.184720972,13.95779191,0.605052064,22.98699746,0.487274315,0.496498041
JAWA TENGAH,CILACAP,KAWUNGANTEN,0,1/11/2019,1,2019,9.22184683,17.41492795,2.411494297,6,2.350281141,12.26999903,25.46999931,11.75999951,0.622832575,-0.066080379,-0.15429089,49.49999785,53.23999777,10.11954507,23.90454483,12.7440903,8.825386679,46.46276977,4.527877816,2.393745595,5.272727273,0.676939283,-0.019587098,-0.194228999,216.6424499,20.98754608,297.0977519,0.184854964,0.359872513
JAWA TIMUR,PROBOLINGGO,GENDING,0,1/12/2019,1,2019,9.758486778,9.285001856,1.35717744,6,3.995550199,3.274999738,5.359999895,0.015,0.56436351,0.011330354,-0.185069795,8.649999633,10.07499959,11.61289451,6.76605239,1.06394732,9.356416203,90.02378112,2.147015275,3.351750364,5.263157895,0.567268113,0.061223787,-0.139669055,79.12738259,0.475919552,1.118050604,0.603925459,0.366568162
JAWA TIMUR,BANYUWANGI,KALIPURO,0,1/12/2019,1,2019,7.947796647,564.0547099,9.190745519,6,2.654646966,0,0.005,0.044999999,0.6625009,0.420160837,-0.228568167,0.049999999,34.05500011,0.232499991,1.194999949,0.016666666,8.598465567,328.3828789,5.111678183,3.555237172,6,0.676587904,0.31713188,-0.195916946,0.002714143,0,0.158112443,0.580515234,0.59068509
JAWA BARAT,SUKABUMI,NAGRAK,1,1/13/2019,1,2019,7.300386712,652.284833,11.40956264,4,3.396285476,46.32999802,7.089999676,14.54500008,0.641906483,0.225158937,-0.227848919,67.96499777,156.3149958,41.30327407,7.035172134,18.50913748,7.942275883,688.6396234,8.235497537,3.161069343,4.206896552,0.556882373,0.162822784,-0.152386918,970.2172213,145.1926341,32.38684298,0.836793038,0.464230068
JAWA BARAT,BANDUNG,BALEENDAH,1,1/13/2019,1,2019,23.16096511,711.7339885,5.907292541,4,2.906360424,39.49499989,2.25,21.71000004,0.507825328,0.058653643,-0.070300564,63.45499992,87.56999937,43.10098153,5.352053432,16.6198211,13.13515277,778.7358999,4.060805529,3.438589954,4.571428571,0.380268281,0.125306693,-0.008386391,2489.717651,361.8458306,26.5720722,-0.21701094,-0.131766696
JAWA TENGAH,KEBUMEN,KEBUMEN,0,1/13/2019,1,2019,3.724669726,22.4356062,2.081835059,4,3.402761883,5.559999704,10.63999987,4.289999843,0.619565625,0.121548174,-0.126894943,20.48999941,47.80499956,5.658333302,11.76404722,6.214999693,11.31628315,60.60285518,4.714757798,2.88759006,4.238095238,0.704179462,0.10641115,-0.174656209,49.35343823,33.43247047,18.46963821,0.326026123,0.535536539
JAWA BARAT,CIREBON,WALED,0,1/13/2019,1,2019,9.221793209,33.17478654,2.497622944,4,3.112473473,8.194999695,11.94999933,0.584999979,0.664981239,-0.128566523,-0.048554939,20.72999901,30.70499919,13.26887084,8.457580465,2.37806446,9.164056423,110.1396915,3.538029286,2.808466901,4.774193548,0.584520822,0.014639071,-0.092733659,236.4471045,14.00534905,94.61642148,-0.563096938,-0.141967852
JAWA BARAT,CIREBON,GEBANG,0,1/13/2019,1,2019,6.653869093,5.497677002,0.881729751,4,3.079874785,19.42000008,8.509999752,2.804999828,0.463600241,0.093637576,-0.082143136,30.73499966,42.88999969,14.54652166,9.674347607,2.293043459,9.673544521,55.1340879,2.520438126,2.735854694,4.869565217,0.563059426,0.010663712,-0.073223787,0,0,0,0.02112733,-0.252477764
