Feature,Year_Comparison,PSI,KS_pvalue
3daylag,2021-2022,0.02380301185033546,0.06316726382931784
7daylag,2021-2022,0.03473442547224661,0.026427207588322944
ibi,2021-2022,0.11318008113780047,8.565490587413943e-09
nb_ibi,2021-2022,0.20111286473348441,5.6110152822115436e-14
Month,2022-2023,0.07144094509246043,0.001763271631883681
twi,2022-2023,0.02813029636087143,0.021842332189252158
elevation_mean,2022-2023,0.029513134284943874,0.555695385036894
slope_mean,2022-2023,0.035958577945702556,0.007369419202827579
soil_type,2022-2023,0.0012058887262849593,0.9999999999997181
drainage_pct,2022-2023,0.04292711772445972,0.06814083161127055
precip_t0,2022-2023,0.3809975653011838,7.60091471860005e-24
precip_t1,2022-2023,0.2409201064945157,6.720986341747802e-23
precip_t2,2022-2023,0.2667201255657926,5.42331485241194e-23
precip_3d,2022-2023,0.3523008316654737,1.6307606175339413e-23
precip_7d,2022-2023,0.4290315790092519,3.3438184458074585e-25
ndvi,2022-2023,0.032177132414149975,0.17817830168985035
mndwi,2022-2023,0.38797411843307317,4.722039245608547e-22
ndbi,2022-2023,0.5183810480052824,5.103887049189749e-31
nb_precip_t0,2022-2023,0.3797621351560182,1.4766413166782309e-22
nb_precip_t1,2022-2023,0.3101533902476572,1.1459714379044241e-20
nb_precip_t2,2022-2023,0.33523728884968446,1.2689467702574301e-18
nb_twi,2022-2023,0.03401344849791617,0.027492128519145814
nb_elevation,2022-2023,0.03922157302727452,0.3323509203145194
nb_slope,2022-2023,0.023718571019350397,0.2525136258456893
nb_drainage,2022-2023,0.0064634973993542115,0.8990411660328108
nb_soil,2022-2023,0.014886919428818323,0.7794089973233724
nb_ndvi,2022-2023,0.04538509293509237,4.577645506499857e-05
nb_mndwi,2022-2023,0.4473694086305742,7.129602089785282e-28
nb_ndbi,2022-2023,0.6868491831963148,4.32548968562386e-45
1daylag,2022-2023,0.23243816720297936,7.797000940399311e-14
3daylag,2022-2023,0.20425981337480612,2.638100219544801e-12
7daylag,2022-2023,0.1119412080104191,4.4510368367324205e-06
ibi,2022-2023,0.6449492006278177,4.8166741516451424e-42
nb_ibi,2022-2023,0.8428808348091228,3.969849739565988e-79
Month,2023-2024,0.07345327383694558,0.007616470056995584
twi,2023-2024,0.01888086945572994,0.8589847731195405
elevation_mean,2023-2024,0.026544771345019515,0.09166927790034954
slope_mean,2023-2024,0.03332011046787315,0.19971064053501458
soil_type,2023-2024,0.0005410514430018083,0.9999999999892916
drainage_pct,2023-2024,0.022990000634258136,0.8027095660844583
precip_t0,2023-2024,0.038678583447507776,0.001023683995603442
precip_t1,2023-2024,0.0353566412694082,0.000915979882027457
precip_t2,2023-2024,0.05411167517106888,0.00035062809542810267
precip_3d,2023-2024,0.08738257534140696,7.928870430347426e-05
precip_7d,2023-2024,0.06541895261017501,0.0016636845493604273
ndvi,2023-2024,0.05817948015510772,0.041507681281973074
mndwi,2023-2024,0.046886292242798,0.43103408570061436
ndbi,2023-2024,0.09442254625294544,1.9433793909312219e-07
nb_precip_t0,2023-2024,0.03940702962777133,0.006026104235620597
nb_precip_t1,2023-2024,0.050711614146560204,0.00036629283909674597
nb_precip_t2,2023-2024,0.05095470340182862,0.00010963874321397693
nb_twi,2023-2024,0.026045537954720453,0.022468738310623577
nb_elevation,2023-2024,0.027461293580460355,0.06100387114041471
nb_slope,2023-2024,0.041460146984990995,0.05083460465921149
nb_drainage,2023-2024,0.018067953421626922,0.5782349297840954
nb_soil,2023-2024,0.008917555904009118,0.8704543124466078
nb_ndvi,2023-2024,0.05630507293552997,5.090452963103176e-05
nb_mndwi,2023-2024,0.015084378007216938,0.4232582992824708
nb_ndbi,2023-2024,0.17369764275322017,5.044331540176734e-09
1daylag,2023-2024,0.0340011781425921,0.01184485371179302
3daylag,2023-2024,0.06439767193852954,0.016263951028258526
7daylag,2023-2024,0.043109094592975176,0.0024165526494715917
ibi,2023-2024,0.08817368510678941,2.5894406424611613e-05
nb_ibi,2023-2024,0.26983059507999785,1.4343588069629761e-11
