WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
JAWA TENGAH,BATANG,REBAN,0,1/12/2019,1,2019,7.087026337,1035.804781,15.02616097,4,2.768653214,7.380000114,7.569999933,1.199999928,0.483647691,0.307299695,-0.254855787,16.14999998,42.31499997,7.737856967,13.80595221,1.709999957,7.452337735,817.509918,11.80107903,2.568414106,4.285714286,0.563792575,0.284382572,-0.226335068,55.21673409,133.5589378,11.84157394,0.721575746,0.66956385
JAWA TENGAH,MAGELANG,KAJORAN,0,1/12/2019,1,2019,7.262505404,764.7643109,12.06288873,4,2.663976613,6.449999571,7.374999762,4.765000105,0.677570473,-0.014821997,-0.249280274,18.58999944,56.42499742,5.237599754,10.86659972,4.152799888,7.809659832,673.2992944,9.289349011,2.535661627,4.04,0.630850647,-0.032371597,-0.167520606,150.4422332,203.152123,4.689969836,0.835180553,0.493532422
JAWA BARAT,SUKABUMI,NAGRAK,1,1/13/2019,1,2019,7.300386712,652.284833,11.40956264,4,3.396285476,46.32999802,7.089999676,14.54500008,0.641906483,0.225158937,-0.227848919,67.96499777,156.3149958,41.30327407,7.035172134,18.50913748,7.942275883,688.6396234,8.235497537,3.161069343,4.206896552,0.556882373,0.162822784,-0.152386918,970.2172213,145.1926341,32.38684298,0.836295903,0.464377237
JAWA BARAT,BANDUNG,BALEENDAH,1,1/13/2019,1,2019,23.16096511,711.7339885,5.907292541,4,2.906360424,39.49499989,2.25,21.71000004,0.507825328,0.058653643,-0.070300564,63.45499992,87.56999937,43.10098153,5.352053432,16.6198211,13.13515277,778.7358999,4.060805529,3.438589954,4.571428571,0.380268281,0.125306693,-0.008386391,2489.717651,361.8458306,26.5720722,-0.216908502,-0.13158842
JAWA TENGAH,JEPARA,NALUMSARI,0,1/13/2019,1,2019,8.402143391,135.0319702,5.623819146,4,3.372093023,9.325000048,4.659999847,0.460000008,0.593240019,0.315340081,-0.123392948,14.4449999,32.12999931,4.122631539,15.06605226,3.810789364,9.129938204,104.3364636,3.935226677,3.25843817,4,0.525995789,0.294603194,-0.065706964,121.1352109,125.4958592,15.07823996,0.117042552,-0.217818522
JAWA TIMUR,LUMAJANG,KEDUNGJAJANG,1,1/14/2019,1,2019,8.658911904,166.9775792,5.198516999,6,4.115247856,19.97999954,10.24499989,21.89999914,0.811877984,0.132361521,-0.166780041,52.12499857,96.24499726,23.21187419,8.296249777,19.64656225,8.931425538,258.1194877,4.088570276,3.306044895,5.5,0.686597272,0.110277287,-0.172143656,127.979695,54.74628637,0.235663673,0.284351027,0.50830073
JAWA BARAT,BOGOR,LEUWILIANG,0,1/14/2019,1,2019,7.324406331,558.7387038,12.0678751,4,2.283907238,4.524999976,45.13500023,6.869999886,0.455061017,0.268361471,-0.203535465,56.53000009,92.07999927,3.977499905,35.8293744,7.828437343,7.834648481,530.0340398,8.911448112,2.802053255,2.6875,0.50060213,0.259922675,-0.172242491,213.989956,514.4537147,1362.46431,0.745546704,0.59616166
JAWA TIMUR,PASURUAN,GRATI,1,1/15/2019,1,2019,9.946621336,37.38399413,1.679464866,4,3.953400977,21.77999926,30.47000027,0,0.656470962,0.103668432,-0.106605859,52.24999952,93.21499824,19.24868375,28.80763134,1.420263119,9.678248138,177.7110046,3.550805737,3.072426962,5.263157895,0.563985039,-0.008999009,-0.113116424,162.0707141,136.1131519,0.123237421,0.121937264,0.206888428
JAWA BARAT,BOGOR,CIBUNGBULANG,0,1/15/2019,1,2019,8.596748089,232.0464249,3.747364066,1,3.621595796,5.509999752,0.169999994,26.22500038,0.522532353,0.225769043,-0.123762917,31.90500013,61.93499894,6.558124859,1.952291633,35.51479131,8.260221947,338.8313246,6.095527257,3.019880291,1.875,0.449711414,0.25306564,-0.11753692,144.1286385,74.32940402,126.7242987,0.416822939,0.320257077
JAWA TENGAH,PATI,DUKUHSETI,1,1/16/2019,1,2019,9.30473754,18.29430687,1.896306904,6,2.76621297,48.08999634,49.22999954,2.884999931,0.459088122,0.460417499,-0.089566244,100.2049958,103.2499958,53.34916449,51.74749923,6.538333043,9.128098291,167.0330601,6.518394792,2.983080255,5.666666667,0.477584574,0.417769789,-0.151966928,52.34722636,0.915413955,6.73912486,-0.04587074,0.338386812
